Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Paul Mitchell the School-Phoenix,Phoenix,AZ,102,7,95,0,1,0,11,28,0,38,5,19,0
Penrose Academy,Scottsdale,AZ,328,3,325,0,1,5,3,59,0,206,27,27,0
Phoenix College,Phoenix,AZ,9649,3519,6130,140,194,278,776,5667,4,2121,321,209,79
Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,130,23,107,0,2,21,10,7,0,66,8,14,2
Phoenix Seminary,Scottsdale,AZ,321,219,102,0,4,14,17,33,2,198,23,24,6
Pima Community College,Tucson,AZ,15293,6575,8718,0,265,440,736,7417,46,5460,505,268,156
Pima Medical Institute-East Valley,Mesa,AZ,384,45,339,4,22,13,21,112,1,182,29,4,0
Pima Medical Institute-Mesa,Mesa,AZ,768,207,561,7,40,33,36,242,8,332,65,11,1
Pima Medical Institute-Phoenix,Phoenix,AZ,879,100,779,7,24,13,56,440,4,265,72,5,0
Pima Medical Institute-Tucson,Tucson,AZ,2589,505,2084,12,59,136,246,1020,28,867,204,27,2
Prescott College,Prescott,AZ,969,244,725,0,9,25,38,48,3,650,10,182,4
Pure Aesthetics Natural Skincare School,Tucson,AZ,40,0,40,0,0,0,3,28,1,7,0,0,1
Refrigeration School Inc,Phoenix,AZ,1006,916,90,0,165,13,131,350,11,315,2,19,0
Regional Center for Border Health,Somerton,AZ,133,17,116,0,11,1,0,103,0,16,0,2,0
Rio Salado College,Tempe,AZ,17078,6879,10199,175,227,741,1003,4756,46,8701,947,611,46
Roberto-Venn School of Luthiery,Phoenix,AZ,27,26,1,0,1,1,0,1,0,24,0,0,0
Scottsdale Community College,Scottsdale,AZ,7065,3115,3950,76,232,268,251,1832,13,3850,370,193,56
Sessions College for Professional Design,Tempe,AZ,308,155,153,0,0,3,57,26,3,145,25,49,0
Sonoran Desert Institute,Tempe,AZ,4011,3916,95,0,26,46,230,507,15,2923,171,93,0
Sonoran University of Health Sciences,Tempe,AZ,591,80,511,0,3,32,88,80,0,328,31,18,11
South Mountain Community College,Phoenix,AZ,3706,1539,2167,66,123,117,454,2138,5,609,159,83,18
Southwest Institute of Healing Arts,Tempe,AZ,886,73,813,0,17,4,104,180,7,449,27,98,0
Studio Academy of Beauty,Chandler,AZ,679,10,669,0,10,4,102,333,4,153,55,17,1
The School of Architecture,Paradise Valley,AZ,6,5,1,0,0,0,0,0,0,4,2,0,0
Tohono O'odham Community College,Sells,AZ,922,199,723,0,888,2,2,3,0,19,2,6,0
Tucson College of Beauty,Tucson,AZ,115,2,113,0,0,2,2,34,0,13,2,62,0
Turning Point Beauty College,Casa Grande,AZ,108,18,90,0,5,61,6,23,0,9,1,3,0
UEI College-Mesa,Mesa,AZ,676,259,417,0,68,1,46,192,6,49,12,302,0
UEI College-Phoenix,Phoenix,AZ,1422,453,969,0,46,4,144,457,4,66,30,671,0
Universal Technical Institute of Arizona Inc,Avondale,AZ,1972,1864,108,0,79,45,66,638,54,727,221,142,0
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,658,612,46,0,15,2,36,113,2,374,80,36,0
University of Advancing Technology,Tempe,AZ,860,682,178,31,19,24,127,139,7,404,75,61,4
University of Arizona,Tucson,AZ,49403,21985,27418,32,697,2804,1993,12683,93,23632,2341,1658,3502
University of Phoenix-Arizona,Phoenix,AZ,88891,25618,63273,5942,611,1061,17648,8603,519,20376,2172,37660,241
Western Maricopa Education Center,Glendale,AZ,223,197,26,0,1,4,9,75,0,83,12,39,0
Xtylo Beauty College,Phoenix,AZ,35,2,33,0,0,0,0,30,0,1,0,1,3
Xtylo Beauty College,Phoenix,AZ,104,0,104,0,0,5,0,72,0,3,0,13,11
Yavapai College,Prescott,AZ,6997,2967,4030,0,132,75,75,1440,29,4585,261,391,9
ABC Adult School,Cerritos,CA,193,41,152,1,0,49,12,111,1,15,5,0,0
ABCO Technology,Inglewood,CA,117,107,10,0,0,12,40,25,0,26,7,7,0
Abraham Lincoln University,Glendale,CA,177,79,98,0,2,16,21,37,3,75,7,14,2
Academy for Jewish Religion-California,Los Angeles,CA,68,22,46,1,0,0,1,0,0,67,0,0,0
Academy for Salon Professionals,Northridge,CA,113,0,113,0,0,2,9,74,2,23,3,0,0
Academy of Art University,San Francisco,CA,6786,2695,4091,0,27,452,693,980,31,1567,293,1179,1564
